,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
27976110,Applying educational psychology /,"Dembo, Myron H.",370.15 De375A 1994, Educational Psychology,"Longman,",1994,0,https://libswu.on.worldcat.org/oclc/27976110
28292345,Visual literacy :a spectrum of visual learning /,"Moore, David M.Dwyer, Francis M.",370.1523 Vi834, Educational Psychology,"Educational Technology Publications,",1994,0,https://libswu.on.worldcat.org/oclc/28292345
28336859,Learning and instruction /,"Hamilton, Richard J.,; Ghatala, Elizabeth Schwenn.",370.1523 Ha219L, Educational Psychology,"McGraw-Hill,",1994,0,https://libswu.on.worldcat.org/oclc/28336859
28631986,Educational psychology :a developmental approach /,"Sprinthall, Norman A.,; Sprinthall, Richard C.,Oja, Sharon Nodie.",370.15 Sp769E 1996, Educational Psychology,"McGraw-Hill,",1994,0,https://libswu.on.worldcat.org/oclc/28631986
28711621,"100 ways to enhance self-concept in the classroom :a handbook for teachers, counselors, and group leaders /","Canfield, Jack,; Wells, Harold Clive,",370.15 Ca222O, Educational Psychology,"Allyn and Bacon,",1994,0,https://libswu.on.worldcat.org/oclc/28711621
28847852,Applied behavior analysis in the classroom /,"Schloss, Patrick J.; Smith, Maureen A.,",371.393 Sc345A, Educational Psychology,"Allyn and Bacon,",1994,0,https://libswu.on.worldcat.org/oclc/28847852
28890750,Educational psychology :theory and practice /,"Slavin, Robert E.",370.15 Sl361E 1994, Educational Psychology,"Allyn and Bacon,",1994,0,https://libswu.on.worldcat.org/oclc/28890750
29952744,"Psychology in teaching, learning, and growth /","Hamachek, Don E.",370.15 Ha198P 1995, Educational Psychology,"Allyn and Bacon,",1995,0,https://libswu.on.worldcat.org/oclc/29952744
30700367,101 ways to develop student self-esteem and responsibility /,"Canfield, Jack,; Siccone, Frank,",370.154 Ca222O2, Educational Psychology,"Allyn and Bacon,",1995,0,https://libswu.on.worldcat.org/oclc/30700367
30738902,"Advanced educational psychology for educators, researchers, and policymakers /","Pressley, Michael.; McCormick, Christine B.",370.15 Pr935A, Educational Psychology,"HarperCollins College Publishers,",1995,0,https://libswu.on.worldcat.org/oclc/30738902
30738903,"Cognition, teaching, and assessment /","Pressley, Michael.; McCormick, Christine B.Pressley, Michael.",370.152 Pr935C, Educational Psychology,"HarperCollins College Publishers,",1995,0,https://libswu.on.worldcat.org/oclc/30738903
30814289,Educational psychology /,"Hoy, Anita Woolfolk,",370.15 Wo913E 1995, Educational Psychology,"Allyn and Bacon,",1995,0,https://libswu.on.worldcat.org/oclc/30814289
30894304,Theories of human learning :Kro's report /,"Lefrançois, Guy R.; Lefrançois, Guy R.",153.15 Le495T, Educational Psychology,"Brooks/Cole,",1995,0,https://libswu.on.worldcat.org/oclc/30894304
32203324,Motivation theory for teachers /,"Hunter, Madeline C.",370.154 Hu946M, Educational Psychology,"Corwin Press,",1995,0,https://libswu.on.worldcat.org/oclc/32203324
32203324,Motivation theory for teachers /,"Hunter, Madeline C.",370.154 Hu946M  c.2, Educational Psychology,"Corwin Press,",1995,0,https://libswu.on.worldcat.org/oclc/32203324
32506917,The theory of learners :an introduction /,"Cotton, Julie.",370.1523 Co851T, Educational Psychology,"Kogan Page,",1995,0,https://libswu.on.worldcat.org/oclc/32506917
32508597,150 ways to increase intrinsic motivation in the classroom /,"Raffini, James P.,",370.154 Ra137O, Educational Psychology,"Allyn and Bacon,",1996,0,https://libswu.on.worldcat.org/oclc/32508597
32545154,Educational psychology :a learning-centered approach to classroom practice /,"McCown, R. R.,; Driscoll, Marcy Perkins.Roop, Peter.McCown, R. R.,",370.15 Ma131E1, Educational Psychology,"Allyn and Bacon,",1996,0,https://libswu.on.worldcat.org/oclc/32545154
32664913,Practical intelligence for school /,"Williams, Wendy M.",370.1523 Pr895, Educational Psychology,"HarperCollins College Publishers,",1996,0,https://libswu.on.worldcat.org/oclc/32664913
32892726,Cognitive development and learning in instructional contexts /,"Byrnes, James P.",370.152 By995C, Educational Psychology,"Allyn and Bacon,",1996,0,https://libswu.on.worldcat.org/oclc/32892726
33278527,"Educational psychology :effective teaching, effective learning /","Elliott, Stephen N.Travers, John F.",370.15 Ed24, Educational Psychology,"Brown & Benchmark,",1996,0,https://libswu.on.worldcat.org/oclc/33278527
33278527,"Educational psychology :effective teaching, effective learning /","Elliott, Stephen N.Travers, John F.",370.15 Ed24  c.2, Educational Psychology,"Brown & Benchmark,",1996,0,https://libswu.on.worldcat.org/oclc/33278527
33282647,Experiential learning for all /,"Evans, Norman,",370.1523 Ev92E, Educational Psychology,"Cassell,",1994,0,https://libswu.on.worldcat.org/oclc/33282647
33819564,Handbook of educational psychology /,"Berliner, David C.Calfee, Robert C.",370.15 Ha236(2), Educational Psychology,"Macmillan Library Reference USA, Simon & Schuster Macmillan ;Prentice Hall International,",1996,0,https://libswu.on.worldcat.org/oclc/33819564
34284376,"Educational psychology :learning, instruction, assessment /","McCormick, Christine B.; Pressley, Michael.",370.15 Ma131E4, Educational Psychology,"Longman,",1997,0,https://libswu.on.worldcat.org/oclc/34284376
34553370,Learning and instruction :theory into practice /,"Gredler, Margaret E.",370.1523 Gr792L 1997, Educational Psychology,"Merrill,",1997,0,https://libswu.on.worldcat.org/oclc/34553370
34658865,An introduction to theories of learning /,"Hergenhahn, B. R.,; Olson, Matthew H.",153.15 He545I 1997, Educational Psychology,"Prentice Hall,",1997,0,https://libswu.on.worldcat.org/oclc/34658865
34676152,Psychology for teaching /,"Lefrançois, Guy R.",370.15 Le495P 1997, Educational Psychology,"Wadsworth Pub. Co.,",1997,0,https://libswu.on.worldcat.org/oclc/34676152
